City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,bodden town,19.2833,-81.25,30.0,28.85,20,3.6,KY,1681418616
253,sakaraha,-22.9,44.5333,20.2,20.2,2,1.31,MG,1681418617
254,sambava,-14.2667,50.1667,23.97,23.97,18,2.0,MG,1681418617
255,wanaka,-44.7,169.15,12.84,12.84,97,0.45,NZ,1681418617
256,ulladulla,-35.35,150.4667,14.32,14.32,98,5.21,AU,1681418617
257,yuanping,38.7153,112.7575,11.8,11.8,100,4.91,CN,1681418618
258,jalu,29.0331,21.5482,22.02,22.02,0,3.37,LY,1681418618
259,byron bay,-28.65,153.6167,13.17,13.17,32,5.26,AU,1681418505
260,te anau,-45.4167,167.7167,9.59,9.59,37,0.57,NZ,1681418618
261,bhinmal,25.0,72.25,27.07,27.07,100,3.92,IN,1681418619
262,nagornskiy,58.7731,57.5451,-10.68,-10.68,27,3.62,RU,1681418619
263,asau,46.4333,26.4,6.51,6.27,15,1.64,RO,1681418619
264,kula,38.5473,28.6498,9.16,9.16,1,1.21,TR,1681418619
265,suntar,62.1444,117.6319,-16.94,-16.94,78,1.94,RU,1681418619
266,upernavik,72.7868,-56.1549,-7.99,-7.99,100,2.66,GL,1681418620
267,gamba,-2.65,10.0,26.01,26.01,100,2.16,GA,1681418620
268,birjand,32.8663,59.2211,24.26,24.26,75,5.14,IR,1681418620
269,ketchikan,55.3422,-131.6461,4.28,4.28,98,1.08,US,1681418621
270,abilene,32.4487,-99.7331,28.82,26.63,0,8.23,US,1681418546
271,springs,-26.25,28.4,17.59,13.79,3,4.14,ZA,1681418622
272,gorkovskiy,45.6542,41.199,8.88,8.88,100,12.37,RU,1681418622
273,hue,16.4667,107.6,25.06,25.06,40,0.51,VN,1681418622
274,siva,29.2041,25.5195,20.32,20.32,2,1.16,EG,1681418622
275,oriximina,-1.7656,-55.8661,27.47,27.47,93,0.49,BR,1681418623
276,poum,-20.2333,164.0167,24.99,24.99,100,5.41,NC,1681418623
277,xining,36.6167,101.7667,3.16,3.16,94,1.49,CN,1681418529
278,argelia,2.2556,-77.2488,22.82,22.82,100,0.51,CO,1681418623
279,walvis bay,-22.9575,14.5053,15.8,15.8,0,5.59,NA,1681418623
280,praya,14.9215,-23.5087,24.3,24.3,71,6.69,CV,1681418624
281,lakes entrance,-37.8811,147.981,10.65,10.65,62,0.84,AU,1681418604
282,bairnsdale,-37.8333,147.6167,10.59,10.59,53,0.69,AU,1681418349
283,ca mau,9.1769,105.15,25.81,25.81,73,1.22,VN,1681418624
284,ambon,-3.6954,128.1814,25.08,25.08,40,2.57,ID,1681418625
285,mahebourg,-20.4081,57.7,24.58,24.16,20,2.57,MU,1681418625
286,batticaloa,7.7102,81.6924,26.22,26.22,8,2.02,LK,1681418625
287,fare,-16.7,-151.0167,27.5,27.5,19,3.58,PF,1681418626
288,hualmay,-11.0964,-77.6139,26.01,26.01,49,5.96,PE,1681418419
289,axim,4.8699,-2.2405,27.14,27.14,3,2.93,GH,1681418626
290,sungaipenuh,-2.0833,101.3833,17.52,17.52,92,0.6,ID,1681418626
291,lata,40.1629,-8.3327,13.78,13.78,93,1.24,PT,1681418626
292,tuatapere,-46.1333,167.6833,10.54,10.54,44,2.15,NZ,1681418400
293,itacoatiara,-3.1431,-58.4442,29.1,29.1,100,0.78,BR,1681418616
294,kita,13.0349,-9.4895,32.49,32.49,55,2.05,ML,1681418627
295,payakumbuh,-0.2202,100.6308,20.62,20.62,97,1.58,ID,1681418627
296,lavrentiya,65.5833,-171.0,-16.47,-16.47,15,3.27,RU,1681418627
297,mwingi,-0.9344,38.0601,19.73,19.73,88,0.95,KE,1681418628
298,lakselv,70.0513,24.9718,-0.1,-0.1,17,7.2,NO,1681418628
